key,version,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:inventor
invention-07,1,"AA01-aaa02","L","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-08,1,"AA01-aaa03","Lo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-09,1,"AA01-aaa04","Lorem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-10,1,"AA01-aaa05","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-11,1,"AA01-aaa06","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-12,1,"AA01-aaa07","لوريم إيبسوم","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-13,1,"AA01-aaa08","洛伦·伊普森","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-14,1,"AA01-aaa09","<marquee>Hacked</marquee>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-15,1,"AA01-aaa10","<script>alert('Hacked!');</script>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-16,1,"AA01-aaa11","โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-17,1,"AA01-aaa12","' or 'A' = 'A ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01

# description variants
invention-18,1,"AA01-aaa13","Lorem ipsum dolor sit amet, consectetu","L","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-19,1,"AA01-aaa14","Lorem ipsum dolor sit amet, consectetu","Lo","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-20,1,"AA01-aaa15","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-21,1,"AA01-aaa16","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-22,1,"AA01-aaa17","Lorem ipsum dolor sit amet, consectetu","โลเร็ม อิปซัม","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-23,1,"AA01-aaa18","Lorem ipsum dolor sit amet, consectetu","لوريم إيبسوم","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-24,1,"AA01-aaa19","Lorem ipsum dolor sit amet, consectetu","洛伦·伊普森","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-25,1,"AA01-aaa20","Lorem ipsum dolor sit amet, consectetu","<marquee>Hacked</marquee>","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-26,1,"AA01-aaa21","Lorem ipsum dolor sit amet, consectetu","<script>alert(‘Hacked!’);</script>","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01
invention-27,1,"AA01-aaa22","Lorem ipsum dolor sit amet, consectetu","' or 'A' = 'A","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,inventor-01

# moment variants (start + end) with correct future intervals
invention-28,1,"AA01-aaa23","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 0:00","2025/01/02 0:01","http://lorem.com/ipsum",true,inventor-01
invention-29,1,"AA01-aaa24","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2200/12/31 23:58","2200/12/31 23:59","http://lorem.com/ipsum",true,inventor-01
invention-30,1,"AA01-aaa25","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 0:00","2200/12/31 23:59","http://lorem.com/ipsum",true,inventor-01

# more info variants
invention-31,1,"AA01-aaa26","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://a.b",true,inventor-01
invention-32,1,"AA01-aaa27","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",true,inventor-01
invention-33,1,"AA01-aaa28","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",true,inventor-01
invention-34,1,"AA01-aaa29","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://www.lorem-ipsum.org",true,inventor-01
invention-35,1,"AA01-aaa30","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","https://www.lorem-ipsum.org",true,inventor-01
invention-36,1,"AA01-aaa31","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://www.lorem-ipsum.org/dolor/sit.html",true,inventor-01
invention-37,1,"AA01-aaa32","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://www.lorem-ipsum.org/dolor/sit.html#dolor",true,inventor-01
invention-38,1,"AA01-aaa33","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://example.org?a=1&b=2",true,inventor-01
invention-39,1,"AA01-aaa34","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://example.org?",true,inventor-01
invention-40,1,"AA01-aaa35","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://example.org?a",true,inventor-01
invention-41,1,"AA01-aaa36","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://example.org?a&b",true,inventor-01
invention-42,1,"AA01-aaa37","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://example.org/",true,inventor-01
invention-43,1,"AA01-aaa38","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://example.org/a",true,inventor-01
invention-44,1,"AA01-aaa39","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://example.org/a/b",true,inventor-01
invention-45,1,"AA01-aaa40","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://example.org/a/b?",true,inventor-01
invention-46,1,"AA01-aaa41","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://example.org/a/b?a&b",true,inventor-01
invention-47,1,"AA01-aaa42","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","",true,inventor-01
invention-48,1,"AA01-aaa43","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00",,true,inventor-01

# draft mode false (dates must be correct) & inventor variants
invention-49,1,"AA01-aaa44","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",false,inventor-01
invention-50,1,"AA01-aaa45","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2026/01/02 00:00","2026/01/03 00:00","http://lorem.com/ipsum",false,inventor-01
invention-51,1,"AA01-aaa46","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2027/01/02 00:00","2027/01/03 00:00","http://lorem.com/ipsum",false,inventor-01
invention-52,1,"AA01-aaa47","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2028/01/02 00:00","2028/01/03 00:00","http://lorem.com/ipsum",false,inventor-01
invention-53,1,"AA01-aaa48","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2029/01/02 00:00","2029/01/03 00:00","http://lorem.com/ipsum",false,inventor-01
invention-54,1,"AA01-aaa49","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",false,inventor-02
invention-55,1,"AA01-aaa50","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2026/01/02 00:00","2026/01/03 00:00","http://lorem.com/ipsum",false,inventor-02
invention-56,1,"AA01-aaa51","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2027/01/02 00:00","2027/01/03 00:00","http://lorem.com/ipsum",false,inventor-02
invention-57,1,"AA01-aaa52","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2028/01/02 00:00","2028/01/03 00:00","http://lorem.com/ipsum",false,inventor-02
invention-58,1,"AA01-aaa53","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2029/01/02 00:00","2029/01/03 00:00","http://lorem.com/ipsum",false,inventor-02

# moment variants (start + end) with incorrect future intervals but draft mode true
invention-59,1,"AA01-aaa54","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/03 0:00","2025/01/02 0:00","http://lorem.com/ipsum",true,inventor-02
invention-60,1,"AA01-aaa55","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2200/12/31 23:59","2200/12/31 23:58","http://lorem.com/ipsum",true,inventor-02
invention-61,1,"AA01-aaa56","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2200/12/31 23:59","2025/01/02 0:00","http://lorem.com/ipsum",true,inventor-01

# moment variants (start + end) with incorrect past intervals but draft mode true
invention-62,1,"AA01-aaa57","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2024/01/01 0:00","2023/01/02 0:00","http://lorem.com/ipsum",true,inventor-01
invention-63,1,"AA01-aaa58","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2020/01/01 0:00","2000/01/01 0:00","http://lorem.com/ipsum",true,inventor-01
invention-64,1,"AA01-aaa59","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2019/01/02 0:00","2018/12/31 23:59","http://lorem.com/ipsum",true,inventor-01

# moment variants (start + end) with correct past intervals but draft mode true
invention-65,1,"AA01-aaa60","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2024/01/02 0:00","2024/01/02 0:01","http://lorem.com/ipsum",true,inventor-01
invention-66,1,"AA01-aaa61","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2000/12/31 23:58","2000/12/31 23:59","http://lorem.com/ipsum",true,inventor-01
invention-67,1,"AA01-aaa62","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2023/01/02 0:00","2023/12/31 23:59","http://lorem.com/ipsum",true,inventor-01

# moment variants with past start date but draft mode true
invention-68,1,"AA01-aaa63","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2020/01/02 0:00","2025/01/02 0:01","http://lorem.com/ipsum",true,inventor-01
invention-69,1,"AA01-aaa64","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2000/12/31 23:58","2200/12/31 23:59","http://lorem.com/ipsum",true,inventor-01
invention-70,1,"AA01-aaa65","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2010/01/02 0:00","2200/12/31 23:59","http://lorem.com/ipsum",true,inventor-01

# moment variants with past end date but draft mode true
invention-71,1,"AA01-aaa66","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 0:00","2000/01/02 0:01","http://lorem.com/ipsum",true,inventor-01
invention-72,1,"AA01-aaa67","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2200/12/31 23:58","2013/12/31 23:59","http://lorem.com/ipsum",true,inventor-01
invention-73,1,"AA01-aaa68","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 0:00","2024/12/31 23:59","http://lorem.com/ipsum",true,inventor-01
